timestep,timestamp,id,callsign,lat,long,alt,heading,cas,tas,mach,vs,weight,fuel_consumed,bank_angle,trans_alt,accel,drag,esf,thrust,flight_phase,speed_mode,ap_speed_mode,ap_track_angle,ap_heading,ap_nav_index
0,2022-03-28T10:14:27,1,FOLLOW,21.898096305245744,113.5001665517098,20000.0,175.0,310.0,412.7687767329601,0.6719151601600988,0.0,67999.28620261098,0.7137973890211554,0.0,20000.001398513094,0.0,62055.80743581099,0.816642871082602,62055.80743581099,6.0,1,2,-80.7879941652191,175.0,1
1,2022-03-28T10:14:28,1,FOLLOW,21.89619261049149,113.50033310341962,20000.0,175.0,310.0,412.7687767329601,0.6719151601600988,0.0,67998.5724071524,1.4275928475920534,0.0,20000.001398513094,0.0,62055.63960716481,0.816642871082602,62055.63960716481,6.0,1,2,-80.78867053746312,175.0,2
2,2022-03-28T10:14:29,1,FOLLOW,21.894288915737235,113.50049965512945,20000.0,175.0,310.0,412.7687767329601,0.6719151601600988,0.0,67997.85861362425,2.1413863757381786,0.0,20000.001398513094,0.0,62055.47178073422,0.816642871082602,62055.47178073422,6.0,1,2,-80.78934693400717,175.0,3
3,2022-03-28T10:14:30,1,FOLLOW,21.89238522098298,113.50066620683924,20000.0,175.0,310.0,412.7687767329601,0.6719151601600988,0.0,67997.1448220265,2.855177973485016,0.0,20000.001398513094,0.0,62055.30395651921,0.816642871082602,62055.30395651921,6.0,1,2,-80.79002335485082,175.0,4
4,2022-03-28T10:14:31,1,FOLLOW,21.89048152622873,113.50083275854904,20000.0,175.0,310.0,412.7687767329601,0.6719151601600988,0.0,67996.43103235913,3.568967640858049,0.0,20000.001398513094,0.0,62055.13613451974,0.816642871082602,62055.13613451974,6.0,1,2,-80.79069979999358,175.0,5
5,2022-03-28T10:14:32,1,FOLLOW,21.88857783147447,113.50099931025886,20000.0,175.0,310.0,412.7687767329601,0.6719151601600988,0.0,67995.71724462211,4.282755377882763,0.0,20000.001398513094,0.0,62054.968314735794,0.816642871082602,62054.968314735794,6.0,1,2,-80.79137626943496,175.0,6
6,2022-03-28T10:14:33,1,FOLLOW,21.886674136720217,113.50116586196869,20000.0,175.0,310.0,412.7687767329601,0.6719151601600988,0.0,67995.00345881541,4.9965411845846415,0.0,20000.001398513094,0.0,62054.80049716737,0.816642871082602,62054.80049716737,6.0,1,2,-80.79205276317454,175.0,7
7,2022-03-28T10:14:34,1,FOLLOW,21.88477044196596,113.50133241367848,20000.0,175.0,310.0,412.7687767329601,0.6719151601600988,0.0,67994.289674939,5.7103250609891685,0.0,20000.001398513094,0.0,62054.63268181445,0.816642871082602,62054.63268181445,6.0,1,2,-80.7927292812118,175.0,8
8,2022-03-28T10:14:35,1,FOLLOW,21.882866747211708,113.5014989653883,20000.0,175.0,310.0,412.7687767329601,0.6719151601600988,0.0,67993.57589299287,6.424107007121826,0.0,20000.001398513094,0.0,62054.46486867697,0.816642871082602,62054.46486867697,6.0,1,2,-80.79340582354634,175.0,9
9,2022-03-28T10:14:36,1,FOLLOW,21.880963052457453,113.5016655170981,20000.0,175.0,310.0,412.7687767329601,0.6719151601600988,0.0,67992.86211297699,7.137887023008099,0.0,20000.001398513094,0.0,62054.29705775496,0.816642871082602,62054.29705775496,6.0,1,2,-80.7940823901776,175.0,10
10,2022-03-28T10:14:37,1,FOLLOW,21.879055594063523,113.50178125674064,20000.0,176.52769747601477,310.0,412.7687767329601,0.6719151601600988,0.0,67992.1176903996,7.882309600406824,30.0,20000.001398513094,0.0,64718.28676380363,0.816642871082602,64718.28676380363,6.0,1,2,-80.79475898110519,220.0,11
11,2022-03-28T10:14:38,1,FOLLOW,21.87714572802715,113.50184610203743,20000.0,178.05539495202953,310.0,412.7687767329601,0.6719151601600988,0.0,67991.37327050629,8.62672949372067,30.0,20000.001398513094,0.0,64718.05341599797,0.816642871082602,64718.05341599797,6.0,1,2,-80.79545901565604,220.0,12
12,2022-03-28T10:14:39,1,FOLLOW,21.875234812057126,113.50186000689057,20000.0,179.5830924280443,310.0,412.7687767329601,0.6719151601600988,0.0,67990.62885329702,9.371146702988703,30.0,20000.001398513094,0.0,64717.820071588496,0.816642871082602,64717.820071588496,6.0,1,2,-80.7961819911805,220.0,13
13,2022-03-28T10:14:40,1,FOLLOW,21.87332420460865,113.5018229614151,20000.0,181.11078990405903,310.0,412.7687767329601,0.6719151601600988,0.0,67989.88443877175,10.115561228249984,30.0,20000.001398513094,0.0,64717.58673057514,0.816642871082602,64717.58673057514,6.0,1,2,-80.7969273886232,220.0,14
