time,id,callsign,lat,long,alt,heading,cas,tas,mach,vs,weight,fuel_consumed,bank_angle,trans_alt,accel,drag,esf,thrust,flight_phase,speed_mode,ap_speed_mode
0,0,HEAD,21.984766305245746,113.5534995517098,20000.0,175.0,310.0,412.7687767329601,0.6719151601600988,0.0,50999.326431951595,0.6735680484029709,0.0,20000.001398513094,0.0,58558.366490986074,0.816642871082602,58558.366490986074,6,1,2
0,1,FOLLOW,21.898096305245744,113.50016655170981,20000.0,175.0,310.0,412.7687767329601,0.6719151601600988,0.0,50999.326431951595,0.6735680484029709,0.0,20000.001398513094,0.0,58558.366490986074,0.816642871082602,58558.366490986074,6,1,2
1,0,HEAD,21.98286261049149,113.55366610341962,20000.0,175.0,310.0,412.7687767329601,0.6719151601600988,0.0,50998.652865269425,1.3471347305696642,0.0,20000.001398513094,0.0,58558.247713729856,0.816642871082602,58558.247713729856,6,1,2
1,1,FOLLOW,21.89619261049149,113.50033310341962,20000.0,175.0,310.0,412.7687767329601,0.6719151601600988,0.0,50998.652865269425,1.3471347305696642,0.0,20000.001398513094,0.0,58558.247713729856,0.816642871082602,58558.247713729856,6,1,2
2,0,HEAD,21.980958915737236,113.55383265512943,20000.0,175.0,310.0,412.7687767329601,0.6719151601600988,0.0,50997.97929995348,2.0207000465208953,0.0,20000.001398513094,0.0,58558.128938283284,0.816642871082602,58558.128938283284,6,1,2
2,1,FOLLOW,21.894288915737235,113.50049965512943,20000.0,175.0,310.0,412.7687767329601,0.6719151601600988,0.0,50997.97929995348,2.0207000465208953,0.0,20000.001398513094,0.0,58558.128938283284,0.816642871082602,58558.128938283284,6,1,2
3,0,HEAD,21.979055220982982,113.55399920683924,20000.0,175.0,310.0,412.7687767329601,0.6719151601600988,0.0,50997.30573600372,2.6942639962774795,0.0,20000.001398513094,0.0,58558.010164646344,0.816642871082602,58558.010164646344,6,1,2
3,1,FOLLOW,21.89238522098298,113.50066620683924,20000.0,175.0,310.0,412.7687767329601,0.6719151601600988,0.0,50997.30573600372,2.6942639962774795,0.0,20000.001398513094,0.0,58558.010164646344,0.816642871082602,58558.010164646344,6,1,2
4,0,HEAD,21.977151526228727,113.55416575854905,20000.0,175.0,310.0,412.7687767329601,0.6719151601600988,0.0,50996.632173420134,3.3678265798602314,0.0,20000.001398513094,0.0,58557.89139281901,0.816642871082602,58557.89139281901,6,1,2
4,1,FOLLOW,21.890481526228726,113.50083275854905,20000.0,175.0,310.0,412.7687767329601,0.6719151601600988,0.0,50996.632173420134,3.3678265798602314,0.0,20000.001398513094,0.0,58557.89139281901,0.816642871082602,58557.89139281901,6,1,2
5,0,HEAD,21.975247831474473,113.55433231025886,20000.0,175.0,310.0,412.7687767329601,0.6719151601600988,0.0,50995.9586122027,4.041387797289967,0.0,20000.001398513094,0.0,58557.77262280129,0.816642871082602,58557.77262280129,6,1,2
5,1,FOLLOW,21.88857783147447,113.50099931025886,20000.0,175.0,310.0,412.7687767329601,0.6719151601600988,0.0,50995.9586122027,4.041387797289967,0.0,20000.001398513094,0.0,58557.77262280129,0.816642871082602,58557.77262280129,6,1,2
6,0,HEAD,21.97334413672022,113.55449886196867,20000.0,175.0,310.0,412.7687767329601,0.6719151601600988,0.0,50995.285052351406,4.7149476485875,0.0,20000.001398513094,0.0,58557.65385459316,0.816642871082602,58557.65385459316,6,1,2
6,1,FOLLOW,21.886674136720217,113.50116586196867,20000.0,175.0,310.0,412.7687767329601,0.6719151601600988,0.0,50995.285052351406,4.7149476485875,0.0,20000.001398513094,0.0,58557.65385459316,0.816642871082602,58557.65385459316,6,1,2
7,0,HEAD,21.971440441965964,113.55466541367848,20000.0,175.0,310.0,412.7687767329601,0.6719151601600988,0.0,50994.61149386622,5.388506133773645,0.0,20000.001398513094,0.0,58557.53508819461,0.816642871082602,58557.53508819461,6,1,2
7,1,FOLLOW,21.884770441965962,113.50133241367848,20000.0,175.0,310.0,412.7687767329601,0.6719151601600988,0.0,50994.61149386622,5.388506133773645,0.0,20000.001398513094,0.0,58557.53508819461,0.816642871082602,58557.53508819461,6,1,2
8,0,HEAD,21.96953674721171,113.55483196538829,20000.0,175.0,310.0,412.7687767329601,0.6719151601600988,0.0,50993.93793674713,6.062063252869218,0.0,20000.001398513094,0.0,58557.41632360562,0.816642871082602,58557.41632360562,6,1,2
