timestep,timestamp,id,callsign,lat,long,alt,heading,cas,tas,mach,vs,weight,fuel_consumed,bank_angle,trans_alt,accel,drag,esf,thrust,flight_phase,speed_mode,ap_speed_mode
0,2022-03-25T09:39:06,1,FOLLOW,21.898096305245744,113.5001665517098,20000.0,175.0,310.0,412.7687767329601,0.6719151601600988,0.0,67999.28620261098,0.7137973890211554,0.0,20000.001398513094,0.0,62055.80743581099,0.816642871082602,62055.80743581099,6.0,1,2
1,2022-03-25T09:39:07,1,FOLLOW,21.89619261049149,113.50033310341962,20000.0,175.0,310.0,412.7687767329601,0.6719151601600988,0.0,67998.5724071524,1.4275928475920534,0.0,20000.001398513094,0.0,62055.63960716481,0.816642871082602,62055.63960716481,6.0,1,2
2,2022-03-25T09:39:08,1,FOLLOW,21.894288915737235,113.50049965512945,20000.0,175.0,310.0,412.7687767329601,0.6719151601600988,0.0,67997.85861362425,2.1413863757381786,0.0,20000.001398513094,0.0,62055.47178073422,0.816642871082602,62055.47178073422,6.0,1,2
3,2022-03-25T09:39:09,1,FOLLOW,21.89238522098298,113.50066620683924,20000.0,175.0,310.0,412.7687767329601,0.6719151601600988,0.0,67997.1448220265,2.855177973485016,0.0,20000.001398513094,0.0,62055.30395651921,0.816642871082602,62055.30395651921,6.0,1,2
4,2022-03-25T09:39:10,1,FOLLOW,21.89048152622873,113.50083275854904,20000.0,175.0,310.0,412.7687767329601,0.6719151601600988,0.0,67996.43103235913,3.568967640858049,0.0,20000.001398513094,0.0,62055.13613451974,0.816642871082602,62055.13613451974,6.0,1,2
5,2022-03-25T09:39:11,1,FOLLOW,21.88857783147447,113.50099931025886,20000.0,175.0,310.0,412.7687767329601,0.6719151601600988,0.0,67995.71724462211,4.282755377882763,0.0,20000.001398513094,0.0,62054.968314735794,0.816642871082602,62054.968314735794,6.0,1,2
6,2022-03-25T09:39:12,1,FOLLOW,21.886674136720217,113.50116586196869,20000.0,175.0,310.0,412.7687767329601,0.6719151601600988,0.0,67995.00345881541,4.9965411845846415,0.0,20000.001398513094,0.0,62054.80049716737,0.816642871082602,62054.80049716737,6.0,1,2
7,2022-03-25T09:39:13,1,FOLLOW,21.88477044196596,113.50133241367848,20000.0,175.0,310.0,412.7687767329601,0.6719151601600988,0.0,67994.289674939,5.7103250609891685,0.0,20000.001398513094,0.0,62054.63268181445,0.816642871082602,62054.63268181445,6.0,1,2
8,2022-03-25T09:39:14,1,FOLLOW,21.882866747211708,113.5014989653883,20000.0,175.0,310.0,412.7687767329601,0.6719151601600988,0.0,67993.57589299287,6.424107007121826,0.0,20000.001398513094,0.0,62054.46486867697,0.816642871082602,62054.46486867697,6.0,1,2
9,2022-03-25T09:39:15,1,FOLLOW,21.880963052457453,113.5016655170981,20000.0,175.0,310.0,412.7687767329601,0.6719151601600988,0.0,67992.86211297699,7.137887023008099,0.0,20000.001398513094,0.0,62054.29705775496,0.816642871082602,62054.29705775496,6.0,1,2
10,2022-03-25T09:39:16,1,FOLLOW,21.879055594063523,113.50178125674064,20000.0,176.52769747601477,310.0,412.7687767329601,0.6719151601600988,0.0,67992.1176903996,7.882309600406824,30.0,20000.001398513094,0.0,64718.28676380363,0.816642871082602,64718.28676380363,6.0,1,2
11,2022-03-25T09:39:17,1,FOLLOW,21.87714572802715,113.50184610203743,20000.0,178.05539495202953,310.0,412.7687767329601,0.6719151601600988,0.0,67991.37327050629,8.62672949372067,30.0,20000.001398513094,0.0,64718.05341599797,0.816642871082602,64718.05341599797,6.0,1,2
12,2022-03-25T09:39:18,1,FOLLOW,21.875234812057126,113.50186000689057,20000.0,179.5830924280443,310.0,412.7687767329601,0.6719151601600988,0.0,67990.62885329702,9.371146702988703,30.0,20000.001398513094,0.0,64717.820071588496,0.816642871082602,64717.820071588496,6.0,1,2
13,2022-03-25T09:39:19,1,FOLLOW,21.87332420460865,113.5018229614151,20000.0,181.11078990405903,310.0,412.7687767329601,0.6719151601600988,0.0,67989.88443877175,10.115561228249984,30.0,20000.001398513094,0.0,64717.58673057514,0.816642871082602,64717.58673057514,6.0,1,2
14,2022-03-25T09:39:20,1,FOLLOW,21.871415263917587,113.50173499194642,20000.0,182.63848738007383,310.0,412.7687767329601,0.6719151601600988,0.0,67989.14002693046,10.859973069543578,30.0,20000.001398513094,0.0,64717.3533929579,0.816642871082602,64717.3533929579,6.0,1,2
15,2022-03-25T09:39:21,1,FOLLOW,21.869509347034917,113.50159616102133,20000.0,184.1661848560886,310.0,412.7687767329601,0.6719151601600988,0.0,67988.39561777309,11.604382226908548,30.0,20000.001398513094,0.0,64717.12005873669,0.816642871082602,64717.12005873669,6.0,1,2
16,2022-03-25T09:39:22,1,FOLLOW,21.86760780886201,113.50140656733365,20000.0,185.69388233210336,310.0,412.7687767329601,0.6719151601600988,0.0,67987.65121129961,12.348788700383956,30.0,20000.001398513094,0.0,64716.886727911486,0.816642871082602,64716.886727911486,6.0,1,2
17,2022-03-25T09:39:23,1,FOLLOW,21.865712001187468,113.501166345664,20000.0,187.2215798081181,310.0,412.7687767329601,0.6719151601600988,0.0,67986.90680751,13.093192490008866,30.0,20000.001398513094,0.0,64716.65340048229,0.816642871082602,64716.65340048229,6.0,1,2
18,2022-03-25T09:39:24,1,FOLLOW,21.863823271726105,113.50087566678414,20000.0,188.7492772841329,310.0,412.7687767329601,0.6719151601600988,0.0,67986.16240640418,13.837593595822336,30.0,20000.001398513094,0.0,64716.42007644902,0.816642871082602,64716.42007644902,6.0,1,2
19,2022-03-25T09:39:25,1,FOLLOW,21.8619429631609,113.5005347373354,20000.0,190.27697476014765,310.0,412.7687767329601,0.6719151601600988,0.0,67985.41800798214,14.581992017863431,30.0,20000.001398513094,0.0,64716.18675581164,0.816642871082602,64716.18675581164,6.0,1,2
20,2022-03-25T09:39:26,1,FOLLOW,21.86007241218848,113.5001437996818,20000.0,191.8046722361624,310.0,412.7687767329601,0.6719151601600988,0.0,67984.67361224383,15.326387756171217,30.0,20000.001398513094,0.0,64715.953438570126,0.816642871082602,64715.953438570126,6.0,1,2
21,2022-03-25T09:39:27,1,FOLLOW,21.858212948568863,113.49970313173792,20000.0,193.3323697121772,310.0,412.7687767329601,0.6719151601600988,0.0,67983.92921918922,16.07078081078474,30.0,20000.001398513094,0.0,64715.72012472442,0.816642871082602,64715.72012472442,6.0,1,2
22,2022-03-25T09:39:28,1,FOLLOW,21.856365894180183,113.49921304677112,20000.0,194.86006718819195,310.0,412.7687767329601,0.6719151601600988,0.0,67983.18482881825,16.81517118174307,30.0,20000.001398513094,0.0,64715.48681427448,0.816642871082602,64715.48681427448,6.0,1,2
23,2022-03-25T09:39:29,1,FOLLOW,21.85453256207893,113.49867389317896,20000.0,196.3877646642067,310.0,412.7687767329601,0.6719151601600988,0.0,67982.44044113091,17.55955886908527,30.0,20000.001398513094,0.0,64715.2535072203,0.816642871082602,64715.2535072203,6.0,1,2
24,2022-03-25T09:39:30,1,FOLLOW,21.852714255566525,113.49808605424154,20000.0,197.91546214022148,310.0,412.7687767329601,0.6719151601600988,0.0,67981.69605612714,18.30394387285039,30.0,20000.001398513094,0.0,64715.020203561806,0.816642871082602,64715.020203561806,6.0,1,2
25,2022-03-25T09:39:31,1,FOLLOW,21.850912267262824,113.4974499478489,20000.0,199.44315961623624,310.0,412.7687767329601,0.6719151601600988,0.0,67980.9516738069,19.048326193077493,30.0,20000.001398513094,0.0,64714.78690329897,0.816642871082602,64714.78690329897,6.0,1,2
26,2022-03-25T09:39:32,1,FOLLOW,21.849127878187197,113.49676602620411,20000.0,200.970857092251,310.0,412.7687767329601,0.6719151601600988,0.0,67980.20729417018,19.79270582980564,30.0,20000.001398513094,0.0,64714.55360643175,0.816642871082602,64714.55360643175,6.0,1,2
27,2022-03-25T09:39:33,1,FOLLOW,21.84736235684785,113.49603477550174,20000.0,202.49855456826575,310.0,412.7687767329601,0.6719151601600988,0.0,67979.46291721691,20.53708278307388,30.0,20000.001398513094,0.0,64714.3203129601,0.816642871082602,64714.3203129601,6.0,1,2
28,2022-03-25T09:39:34,1,FOLLOW,21.84561695834007,113.49525671558214,20000.0,204.0262520442805,310.0,412.7687767329601,0.6719151601600988,0.0,67978.71854294706,21.281457052921272,30.0,20000.001398513094,0.0,64714.08702288399,0.816642871082602,64714.08702288399,6.0,1,2
29,2022-03-25T09:39:35,1,FOLLOW,21.84389292345399,113.49443239956204,20000.0,205.5539495202953,310.0,412.7687767329601,0.6719151601600988,0.0,67977.97417136059,22.02582863938688,30.0,20000.001398513094,0.0,64713.85373620338,0.816642871082602,64713.85373620338,6.0,1,2
30,2022-03-25T09:39:36,1,FOLLOW,21.842191477792493,113.49356241344124,20000.0,207.08164699631007,310.0,412.7687767329601,0.6719151601600988,0.0,67977.22980245747,22.77019754250976,30.0,20000.001398513094,0.0,64713.62045291824,0.816642871082602,64713.62045291824,6.0,1,2
31,2022-03-25T09:39:37,1,FOLLOW,21.84051383089997,113.49264737568603,20000.0,208.60934447232484,310.0,412.7687767329601,0.6719151601600988,0.0,67976.48543623765,23.51456376232896,30.0,20000.001398513094,0.0,64713.3871730285,0.816642871082602,64713.3871730285,6.0,1,2
32,2022-03-25T09:39:38,1,FOLLOW,21.83886117540246,113.49168793678962,20000.0,210.1370419483396,310.0,412.7687767329601,0.6719151601600988,0.0,67975.7410727011,24.25892729888354,30.0,20000.001398513094,0.0,64713.15389653416,0.816642871082602,64713.15389653416,6.0,1,2
33,2022-03-25T09:39:39,1,FOLLOW,21.8372346861598,113.49068477880957,20000.0,211.6647394243544,310.0,412.7687767329601,0.6719151601600988,0.0,67974.99671184777,25.00328815221255,30.0,20000.001398513094,0.0,64712.92062343514,0.816642871082602,64712.92062343514,6.0,1,2
34,2022-03-25T09:39:40,1,FOLLOW,21.83563551943045,113.48963861488303,20000.0,213.19243690036916,310.0,412.7687767329601,0.6719151601600988,0.0,67974.25235367763,25.747646322355056,30.0,20000.001398513094,0.0,64712.68735373141,0.816642871082602,64712.68735373141,6.0,1,2
35,2022-03-25T09:39:41,1,FOLLOW,21.83406481204951,113.48855018871976,20000.0,214.7201343763839,310.0,412.7687767329601,0.6719151601600988,0.0,67973.50799819063,26.492001809350104,30.0,20000.001398513094,0.0,64712.45408742296,0.816642871082602,64712.45408742296,6.0,1,2
36,2022-03-25T09:39:42,1,FOLLOW,21.832523680620557,113.4874202740734,20000.0,216.24783185239863,310.0,412.7687767329601,0.6719151601600988,0.0,67972.76364538675,27.236354613236745,30.0,20000.001398513094,0.0,64712.2208245097,0.816642871082602,64712.2208245097,6.0,1,2
37,2022-03-25T09:39:43,1,FOLLOW,21.831013220721832,113.48624967419138,20000.0,217.77552932841343,310.0,412.7687767329601,0.6719151601600988,0.0,67972.01929526593,27.98070473405404,30.0,20000.001398513094,0.0,64711.98756499163,0.816642871082602,64711.98756499163,6.0,1,2
38,2022-03-25T09:39:44,1,FOLLOW,21.82953450612745,113.485039221244,20000.0,219.3032268044282,310.0,412.7687767329601,0.6719151601600988,0.0,67971.27494782813,28.725052171841032,30.0,20000.001398513094,0.0,64711.75430886872,0.816642871082602,64711.75430886872,6.0,1,2
39,2022-03-25T09:39:45,1,FOLLOW,21.828070620813985,113.4838108756174,20000.0,220.0,310.0,412.7687767329601,0.6719151601600988,0.0,67970.53060307333,29.46939692663678,30.0,20000.001398513094,0.0,64711.5210561409,0.816642871082602,64711.5210561409,6.0,1,2
40,2022-03-25T09:39:46,1,FOLLOW,21.82660673550052,113.48258252999078,20000.0,220.0,310.0,412.7687767329601,0.6719151601600988,0.0,67969.81688536683,30.183114633135773,0.0,20000.001398513094,0.0,62048.88003130174,0.816642871082602,62048.88003130174,6.0,1,2
41,2022-03-25T09:39:47,1,FOLLOW,21.82514285018705,113.48135418436416,20000.0,220.0,310.0,412.7687767329601,0.6719151601600988,0.0,67969.10316958973,30.89683041023652,0.0,20000.001398513094,0.0,62048.712294115234,0.816642871082602,62048.712294115234,6.0,1,2
42,2022-03-25T09:39:48,1,FOLLOW,21.823678964873576,113.48012583873756,20000.0,220.0,310.0,412.7687767329601,0.6719151601600988,0.0,67968.389455742,31.610544257964506,0.0,20000.001398513094,0.0,62048.54455914348,0.816642871082602,62048.54455914348,6.0,1,2
43,2022-03-25T09:39:49,1,FOLLOW,21.822215079560102,113.47889749311094,20000.0,220.0,310.0,412.7687767329601,0.6719151601600988,0.0,67967.67574382362,32.324256176345195,0.0,20000.001398513094,0.0,62048.37682638646,0.816642871082602,62048.37682638646,6.0,1,2
44,2022-03-25T09:39:50,1,FOLLOW,21.82075119424664,113.47766914748432,20000.0,220.0,310.0,412.7687767329601,0.6719151601600988,0.0,67966.96203383457,33.03796616540407,0.0,20000.001398513094,0.0,62048.20909584414,0.816642871082602,62048.20909584414,6.0,1,2
45,2022-03-25T09:39:51,1,FOLLOW,21.819287308933166,113.4764408018577,20000.0,220.0,310.0,412.7687767329601,0.6719151601600988,0.0,67966.24832577481,33.7516742251666,0.0,20000.001398513094,0.0,62048.041367516525,0.816642871082602,62048.041367516525,6.0,1,2
46,2022-03-25T09:39:52,1,FOLLOW,21.817823423619696,113.47521245623108,20000.0,220.0,310.0,412.7687767329601,0.6719151601600988,0.0,67965.53461964431,34.46538035565827,0.0,20000.001398513094,0.0,62047.8736414036,0.816642871082602,62047.8736414036,6.0,1,2
47,2022-03-25T09:39:53,1,FOLLOW,21.816359538306227,113.47398411060448,20000.0,220.0,310.0,412.7687767329601,0.6719151601600988,0.0,67964.82091544307,35.179084556904535,0.0,20000.001398513094,0.0,62047.7059175053,0.816642871082602,62047.7059175053,6.0,1,2
48,2022-03-25T09:39:54,1,FOLLOW,21.81489565299276,113.47275576497786,20000.0,220.0,310.0,412.7687767329601,0.6719151601600988,0.0,67964.10721317104,35.89278682893088,0.0,20000.001398513094,0.0,62047.53819582165,0.816642871082602,62047.53819582165,6.0,1,2
49,2022-03-25T09:39:55,1,FOLLOW,21.813431767679287,113.47152741935125,20000.0,220.0,310.0,412.7687767329601,0.6719151601600988,0.0,67963.3935128282,36.60648717176278,0.0,20000.001398513094,0.0,62047.37047635261,0.816642871082602,62047.37047635261,6.0,1,2
50,2022-03-25T09:39:56,1,FOLLOW,21.811967882365817,113.47029907372465,20000.0,220.0,310.0,412.7687767329601,0.6719151601600988,0.0,67962.67981441454,37.32018558542571,0.0,20000.001398513094,0.0,62047.20275909816,0.816642871082602,62047.20275909816,6.0,1,2
51,2022-03-25T09:39:57,1,FOLLOW,21.810503997052347,113.46907072809802,20000.0,220.0,310.0,412.7687767329601,0.6719151601600988,0.0,67961.96611793003,38.03388206994514,0.0,20000.001398513094,0.0,62047.03504405829,0.816642871082602,62047.03504405829,6.0,1,2
52,2022-03-25T09:39:58,1,FOLLOW,21.80904011173888,113.4678423824714,20000.0,220.0,310.0,412.7687767329601,0.6719151601600988,0.0,67961.25242337462,38.74757662534655,0.0,20000.001398513094,0.0,62046.86733123296,0.816642871082602,62046.86733123296,6.0,1,2
53,2022-03-25T09:39:59,1,FOLLOW,21.807576226425407,113.4666140368448,20000.0,220.0,310.0,412.7687767329601,0.6719151601600988,0.0,67960.53873074832,39.4612692516554,0.0,20000.001398513094,0.0,62046.69962062218,0.816642871082602,62046.69962062218,6.0,1,2
54,2022-03-25T09:40:00,1,FOLLOW,21.806112341111938,113.46538569121816,20000.0,220.0,310.0,412.7687767329601,0.6719151601600988,0.0,67959.82504005107,40.17495994889716,0.0,20000.001398513094,0.0,62046.53191222591,0.816642871082602,62046.53191222591,6.0,1,2
55,2022-03-25T09:40:01,1,FOLLOW,21.804648455798468,113.46415734559156,20000.0,220.0,310.0,412.7687767329601,0.6719151601600988,0.0,67959.11135128287,40.88864871709732,0.0,20000.001398513094,0.0,62046.364206044105,0.816642871082602,62046.364206044105,6.0,1,2
56,2022-03-25T09:40:02,1,FOLLOW,21.803184570485,113.46292899996494,20000.0,220.0,310.0,412.7687767329601,0.6719151601600988,0.0,67958.39766444369,41.60233555628133,0.0,20000.001398513094,0.0,62046.19650207679,0.816642871082602,62046.19650207679,6.0,1,2
57,2022-03-25T09:40:03,1,FOLLOW,21.801720685171528,113.46170065433832,20000.0,220.0,310.0,412.7687767329601,0.6719151601600988,0.0,67957.6839795335,42.31602046647468,0.0,20000.001398513094,0.0,62046.02880032392,0.816642871082602,62046.02880032392,6.0,1,2
58,2022-03-25T09:40:04,1,FOLLOW,21.800256799858055,113.46047230871172,20000.0,220.0,310.0,412.7687767329601,0.6719151601600988,0.0,67956.97029655227,43.02970344770284,0.0,20000.001398513094,0.0,62045.86110078548,0.816642871082602,62045.86110078548,6.0,1,2
59,2022-03-25T09:40:05,1,FOLLOW,21.79879291454459,113.4592439630851,20000.0,220.0,310.0,412.7687767329601,0.6719151601600988,0.0,67956.25661549998,43.74338449999127,0.0,20000.001398513094,0.0,62045.69340346145,0.816642871082602,62045.69340346145,6.0,1,2
60,2022-03-25T09:40:06,1,FOLLOW,21.79732902923112,113.45801561745849,20000.0,220.0,310.0,412.7687767329601,0.6719151601600988,0.0,67955.5429363766,44.45706362336544,0.0,20000.001398513094,0.0,62045.5257083518,0.816642871082602,62045.5257083518,6.0,1,2
61,2022-03-25T09:40:07,1,FOLLOW,21.79586514391765,113.45678727183189,20000.0,220.0,310.0,412.7687767329601,0.6719151601600988,0.0,67954.82925918212,45.17074081785084,0.0,20000.001398513094,0.0,62045.35801545654,0.816642871082602,62045.35801545654,6.0,1,2
62,2022-03-25T09:40:08,1,FOLLOW,21.79440125860418,113.45555892620526,20000.0,220.0,310.0,412.7687767329601,0.6719151601600988,0.0,67954.1155839165,45.88441608347293,0.0,20000.001398513094,0.0,62045.19032477563,0.816642871082602,62045.19032477563,6.0,1,2
63,2022-03-25T09:40:09,1,FOLLOW,21.79293737329071,113.45433058057864,20000.0,220.0,310.0,412.7687767329601,0.6719151601600988,0.0,67953.40191057972,46.598089420257175,0.0,20000.001398513094,0.0,62045.02263630903,0.816642871082602,62045.02263630903,6.0,1,2
