timestep,timestamp,id,callsign,lat,long,alt,heading,cas,tas,mach,vs,weight,fuel_consumed,bank_angle,trans_alt,accel,drag,esf,thrust,flight_phase,speed_mode,ap_speed_mode,ap_track_angle,ap_heading,ap_nav_index
0,2022-03-28T06:42:35,0,HEAD,22.385879422207104,113.4283332453768,20000.0,173.47230252398523,310.0,412.7687767329601,0.6719151601600988,0.0,67999.2555516848,0.7444483152064391,-30.0,20000.001398513094,0.0,64720.52434615379,0.816642871082602,64720.52434615379,6.0,1,2,163.85380641762987,163.85380641762987,1
0,2022-03-28T06:42:35,1,FOLLOW,21.898096305245744,113.50016655170981,20000.0,175.0,310.0,412.7687767329601,0.6719151601600988,0.0,67999.28620261098,0.7137973890211554,0.0,20000.001398513094,0.0,62055.80743581099,0.816642871082602,62055.80743581099,6.0,1,2,-80.7879941652191,175.0,1
1,2022-03-28T06:42:36,0,HEAD,22.383987311059645,113.42860102998256,20000.0,171.94460504797047,310.0,412.7687767329601,0.6719151601600988,0.0,67998.51110605405,1.488893945953413,-30.0,20000.001398513094,0.0,64720.290965782544,0.816642871082602,64720.290965782544,6.0,1,2,160.58736164291392,160.58736164291392,2
1,2022-03-28T06:42:36,1,FOLLOW,21.89619261049149,113.50033310341962,20000.0,175.0,310.0,412.7687767329601,0.6719151601600988,0.0,67998.5724071524,1.4275928475920534,0.0,20000.001398513094,0.0,62055.63960716481,0.816642871082602,62055.63960716481,6.0,1,2,-80.78867053746312,175.0,2
2,2022-03-28T06:42:37,0,HEAD,22.38210301164461,113.42891916345128,20000.0,170.4169075719557,310.0,412.7687767329601,0.6719151601600988,0.0,67997.76666310773,2.2333368922799903,-30.0,20000.001398513094,0.0,64720.057588807846,0.816642871082602,64720.057588807846,6.0,1,2,150.37568206651804,150.37568206651804,2
2,2022-03-28T06:42:37,1,FOLLOW,21.894288915737235,113.50049965512943,20000.0,175.0,310.0,412.7687767329601,0.6719151601600988,0.0,67997.85861362425,2.1413863757381786,0.0,20000.001398513094,0.0,62055.47178073422,0.816642871082602,62055.47178073422,6.0,1,2,-80.78934693400717,175.0,3
3,2022-03-28T06:42:38,0,HEAD,22.38022786349569,113.42928741962439,20000.0,168.88921009594094,310.0,412.7687767329601,0.6719151601600988,0.0,67997.02222284579,2.97777715422524,-30.0,20000.001398513094,0.0,64719.82421522967,0.816642871082602,64719.82421522967,6.0,1,2,150.32188123286414,150.32188123286414,2
3,2022-03-28T06:42:38,1,FOLLOW,21.89238522098298,113.50066620683924,20000.0,175.0,310.0,412.7687767329601,0.6719151601600988,0.0,67997.1448220265,2.8551779734850156,0.0,20000.001398513094,0.0,62055.30395651921,0.816642871082602,62055.30395651921,6.0,1,2,-80.79002335485082,175.0,4
4,2022-03-28T06:42:39,0,HEAD,22.378363199641015,113.42970553671145,20000.0,167.36151261992617,310.0,412.7687767329601,0.6719151601600988,0.0,67996.27778526819,3.7222147318282293,-30.0,20000.001398513094,0.0,64719.590845047984,0.816642871082602,64719.590845047984,6.0,1,2,150.27141435188688,150.27141435188688,2
4,2022-03-28T06:42:39,1,FOLLOW,21.890481526228726,113.50083275854905,20000.0,175.0,310.0,412.7687767329601,0.6719151601600988,0.0,67996.43103235913,3.568967640858049,0.0,20000.001398513094,0.0,62055.13613451974,0.816642871082602,62055.13613451974,6.0,1,2,-80.79069979999358,175.0,5
